model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
93,1.575783125,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,TRUE,0.5,0.5
94,2.881391379,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,TRUE,0.5,0.5
95,2.817561338,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,TRUE,0.5,0.5
96,2.665877304,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,TRUE,0.5,0.5
97,1.555631882,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,TRUE,0.5,0.5
98,2.695440286,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,TRUE,0.5,0.5
99,2.518197999,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,TRUE,0.5,0.5
100,1.028265587,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,TRUE,0.5,0.5
101,1.453284094,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,TRUE,0.5,0.5
102,2.739095107,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,TRUE,0.5,0.5
103,2.68715644,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,TRUE,0.5,0.5
104,1.716310987,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,TRUE,0.5,0.5
105,1.01015291,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,TRUE,0.5,0.5
106,2.940816831,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,TRUE,0.5,0.5
107,2.227675521,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,TRUE,0.5,0.5
108,1.20509335,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,TRUE,0.5,0.5
109,1.245358833,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,TRUE,0.5,0.5
110,2.024821645,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,TRUE,0.5,0.5
